"","Pos","Player","Pts","Bye","week","team","Opponent","OppId","NFLTeam","NFLPos"
"319","BN","Shane Vereen",8,0,2,10,"FU Roadshow Winnebago",4,"NYG","RB"
"320","IR","",0,1,2,10,"FU Roadshow Winnebago",4,"",""
"321","QB","Drew Brees",16,0,1,11,"What Would Jameis Do?",2,"NO","QB"
"322","RB","Carlos Hyde",29,0,1,11,"What Would Jameis Do?",2,"SF","RB"
"323","RB","Devonta Freeman",3,0,1,11,"What Would Jameis Do?",2,"Atl","RB"
"324","WR","Emmanuel Sanders",6,0,1,11,"What Would Jameis Do?",2,"Den","WR"
"325","WR","Vincent Jackson",5,0,1,11,"What Would Jameis Do?",2,"TB","WR"
"326","TE","Larry Donnell",2,0,1,11,"What Would Jameis Do?",2,"NYG","TE"
"327","FLEX","Eric Decker",9,0,1,11,"What Would Jameis Do?",2,"NYJ","WR"
"328","K","Cody Parkey",5,0,1,11,"What Would Jameis Do?",2,"Phi","K"
"329","D/ST","Seahawks",16,0,1,11,"What Would Jameis Do?",2,"Sea","D/ST"
"330","BN","Le'Veon Bell",0,0,1,11,"What Would Jameis Do?",2,"Pit","RB"
"331","BN","C.J. Spiller",0,0,1,11,"What Would Jameis Do?",2,"NO","RB"
"332","BN","Allen Robinson",2,0,1,11,"What Would Jameis Do?",2,"Jac","WR"
"333","BN","Tony Romo",22,0,1,11,"What Would Jameis Do?",2,"Dal QB","IR"
"334","BN","Tre Mason",0,0,1,11,"What Would Jameis Do?",2,"StL","RB"
"335","BN","Brian Hoyer",9,0,1,11,"What Would Jameis Do?",2,"Hou","QB"
"336","IR","",0,1,1,11,"What Would Jameis Do?",2,"",""
"337","QB","Drew Brees",12,0,2,11,"Down w/the Confederacaaaa!",8,"NO","QB"
"338","RB","Carlos Hyde",5,0,2,11,"Down w/the Confederacaaaa!",8,"SF","RB"
"339","RB","Tre Mason",2,0,2,11,"Down w/the Confederacaaaa!",8,"StL","RB"
"340","WR","Emmanuel Sanders",20,0,2,11,"Down w/the Confederacaaaa!",8,"Den","WR"
"341","WR","Vincent Jackson",11,0,2,11,"Down w/the Confederacaaaa!",8,"TB","WR"
"342","TE","Tyler Eifert",10,0,2,11,"Down w/the Confederacaaaa!",8,"Cin","TE"
"343","FLEX","Eric Decker",15,0,2,11,"Down w/the Confederacaaaa!",8,"NYJ","WR"
"344","K","Cody Parkey",5,0,2,11,"Down w/the Confederacaaaa!",8,"Phi","K"
"345","D/ST","Seahawks",3,0,2,11,"Down w/the Confederacaaaa!",8,"Sea","D/ST"
"346","BN","Le'Veon Bell",0,0,2,11,"Down w/the Confederacaaaa!",8,"Pit","RB"
"347","BN","Larry Donnell",8,0,2,11,"Down w/the Confederacaaaa!",8,"NYG","TE"
"348","BN","C.J. Spiller",1,0,2,11,"Down w/the Confederacaaaa!",8,"NO","RB"
"349","BN","Allen Robinson",27,0,2,11,"Down w/the Confederacaaaa!",8,"Jac","WR"
"350","BN","Tony Romo",6,0,2,11,"Down w/the Confederacaaaa!",8,"Dal QB","IR"
"351","BN","Devonta Freeman",11,0,2,11,"Down w/the Confederacaaaa!",8,"Atl","RB"
"352","IR","",0,1,2,11,"Down w/the Confederacaaaa!",8,"",""
"353","QB","Andrew Luck",17,0,1,12,"FU Roadshow Winnebago",4,"Ind","QB"
"354","RB","Matt Forte",22,0,1,12,"FU Roadshow Winnebago",4,"Chi","RB"
"355","RB","Dion Lewis",11,0,1,12,"FU Roadshow Winnebago",4,"NE","RB"
"356","WR","Calvin Johnson",3,0,1,12,"FU Roadshow Winnebago",4,"Det","WR"
"357","WR","Anquan Boldin",3,0,1,12,"FU Roadshow Winnebago",4,"SF","WR"
"358","TE","Jimmy Graham",11,0,1,12,"FU Roadshow Winnebago",4,"Sea","TE"
"359","FLEX","Rueben Randle",2,0,1,12,"FU Roadshow Winnebago",4,"NYG","WR"
"360","K","Justin Tucker",10,0,1,12,"FU Roadshow Winnebago",4,"Bal","K"
"361","D/ST","Eagles",4,0,1,12,"FU Roadshow Winnebago",4,"Phi","D/ST"
"362","BN","Mike Evans",0,0,1,12,"FU Roadshow Winnebago",4,"TB","WR"
"363","BN","Christine Michael",0,0,1,12,"FU Roadshow Winnebago",4,"Dal","RB"
"364","BN","Dexter McCluster, Ten WR",0,0,1,12,"FU Roadshow Winnebago",4,"RB","RB"
"365","BN","Eddie Royal",0,0,1,12,"FU Roadshow Winnebago",4,"Chi","WR"
"366","BN","Kyle Rudolph",5,0,1,12,"FU Roadshow Winnebago",4,"Min","TE"
"367","BN","Doug Baldwin",3,0,1,12,"FU Roadshow Winnebago",4,"Sea","WR"
"368","IR","",0,1,1,12,"FU Roadshow Winnebago",4,"",""
"369","QB","Andrew Luck",8,0,2,12,"What Would Jameis Do?",2,"Ind","QB"
"370","RB","Matt Forte",10,0,2,12,"What Would Jameis Do?",2,"Chi","RB"
"371","RB","Dion Lewis",17,0,2,12,"What Would Jameis Do?",2,"NE","RB"
"372","WR","Calvin Johnson",14,0,2,12,"What Would Jameis Do?",2,"Det","WR"
"373","WR","Mike Evans",0,0,2,12,"What Would Jameis Do?",2,"TB","WR"
"374","TE","Jimmy Graham",1,0,2,12,"What Would Jameis Do?",2,"Sea","TE"
"375","FLEX","Rueben Randle",0,0,2,12,"What Would Jameis Do?",2,"NYG","WR"
"376","K","Justin Tucker",15,0,2,12,"What Would Jameis Do?",2,"Bal","K"
"377","D/ST","Eagles",7,0,2,12,"What Would Jameis Do?",2,"Phi","D/ST"
"378","BN","Christine Michael",0,0,2,12,"What Would Jameis Do?",2,"Dal","RB"
"379","BN","Dexter McCluster, Ten WR",11,0,2,12,"What Would Jameis Do?",2,"RB","RB"
"380","BN","Anquan Boldin",12,0,2,12,"What Would Jameis Do?",2,"SF","WR"
"381","BN","Eddie Royal",4,0,2,12,"What Would Jameis Do?",2,"Chi","WR"
"382","BN","Kyle Rudolph",9,0,2,12,"What Would Jameis Do?",2,"Min","TE"
"383","BN","Doug Baldwin",15,0,2,12,"What Would Jameis Do?",2,"Sea","WR"
"384","IR","",0,1,2,12,"What Would Jameis Do?",2,"",""
